Unnamed: 0,Atom_Index,Charge,Info,DataMass,Source,ElementGuess,AtomicNumber,atom_type,element,chemical_environment,functional_group,hybridization,example_molecule_smiles,group_smarts,atom_specific_smarts,description,uncertainty,smarts_type,matched_mol2_indices
10,6,0.0,C  - C~   |,12.011,oplsaa2024.lt,C,6,6,C,Generic carbon placeholder (unspecified bonding in source entry),unspecified,unspecified,C,[#6],[#6:1],Ambiguous generic carbon type from source; no clear local environment provided.,80,group_smarts,"[(1,), (2,), (5,), (7,), (8,), (9,), (10,), (11,), (16,), (20,), (21,), (22,), (30,), (31,), (34,), (37,)]"
14,57,-0.12,C  - CT   | CH2 all-atom C: alkanes,12.011,oplsaa2024.lt,C,6,57,C,"Methylene carbon in alkanes (two C neighbors, two H)",alkane (CH2),sp3,CCCC,[CH2]-[#6X4],[CH2:1](-[#6X4])-[#6X4],Internal or near-terminal methylene in saturated hydrocarbons; two sp3 carbon neighbors.,10,group_smarts,"[(21, 22), (30, 31), (31, 34), (34, 37)]"
13,135,-0.18,C  - CT   | CH3 all-atom C: alkanes,12.011,oplsaa2024.lt,C,6,135,C,alkyl methyl carbon (sp3) in saturated hydrocarbon,alkane methyl,sp3,CCC,[#6;X4]-[#6;X4],[CH3;X4]-[#6;X4],Terminal methyl carbon in an alkane chain (no heteroatom neighbors). Nearest neighbor: sp3 carbon.,5,group_smarts,"[(21, 22), (30, 31), (31, 34), (34, 37)]"
15,137,-0.06,C  - CT   | CH all-atom C: alkanes,12.011,oplsaa2024.lt,C,6,137,C,"alkyl methine carbon (sp3, one H) in saturated hydrocarbon",alkane methine,sp3,CC(C)C,[#6;X4]-[#6;X4],[CH;X4](-[#6;X4])(-[#6;X4])(-[#6;X4]),"A saturated methine carbon with three sp3 carbon neighbors and one hydrogen (e.g., isobutane tertiary carbon).",5,group_smarts,"[(21, 22), (30, 31), (31, 34), (34, 37)]"
4,774,0.21,"C  - CT   | "" C in CH2",12.011,oplsaa2024.lt,C,6,774,C,aliphatic methylene carbon in saturated chain,alkane (CH2),sp3,CCC,[CH2],[CH2],"Generic saturated CH2 carbon (two hydrogens, two single-bonded neighbors).",10,group_smarts,"[(1,), (16,), (20,), (21,), (22,), (30,), (31,), (34,)]"
18,907,0.08,"C  - CT   | CH2(N) secondary aliphatic amines, H(C) type 911",12.011,oplsaa2024.lt,C,6,907,C,methylene carbon directly bonded to a secondary amine nitrogen,alpha to secondary amine (R–CH2–NH–R),sp3,CCNCC,[CH2]-[NH],[CH2]-[NH],CH2 carbon alpha to a neutral secondary amine nitrogen.,10,group_smarts,"[(20, 25), (22, 25), (30, 25)]"
16,1120,-0.05,C  - CT   | C in CH3NR3+ July 2005,12.011,oplsaa2024.lt,C,6,1120,C,Methyl carbon alpha to a quaternary ammonium nitrogen (NR4+).,quaternary ammonium alpha carbon (CH3–N+R3),sp3,C[N+](C)(C)C,[CX4]-[NX4+],[CH3X4:1]-[NX4+],"Methyl attached directly to NR4+ (e.g., tetramethylammonium substituent).",12,group_smarts,"[(20, 25), (22, 25), (30, 25)]"
17,1121,0.05,C  - CT   | C in RCH2NR3+ WLJ,12.011,oplsaa2024.lt,C,6,1121,C,Methylene carbon alpha to a quaternary ammonium nitrogen (R–CH2–N+R3).,quaternary ammonium alpha carbon (R–CH2–N+R3),sp3,CC[N+](C)(C)C,[CX4]-[NX4+],[CH2X4:1]-[NX4+],CH2 directly bonded to NR4+.,12,group_smarts,"[(20, 25), (22, 25), (30, 25)]"
18,1122,0.15,C  - CT   | C in R2CHNR3+ ammonium,12.011,oplsaa2024.lt,C,6,1122,C,Methine carbon alpha to a quaternary ammonium nitrogen (R2–CH–N+R3).,quaternary ammonium alpha carbon (R2CH–N+R3),sp3,CC([N+](C)(C)C)C,[CX4]-[NX4+],[CHX4:1]-[NX4+],Secondary carbon (one H) bonded directly to NR4+.,12,group_smarts,"[(20, 25), (22, 25), (30, 25)]"
19,1123,0.25,C  - CT   | C in R3CNR3+,12.011,oplsaa2024.lt,C,6,1123,C,Quaternary carbon (no hydrogens) alpha to a quaternary ammonium nitrogen (R3C–N+R3).,quaternary ammonium alpha carbon (R3C–N+R3),sp3,C(C)(C)([N+](C)(C)C)C,[CX4]-[NX4+],[CX4H0:1]-[NX4+],Tertiary carbon center (no hydrogens) directly bonded to NR4+.,12,group_smarts,"[(20, 25), (22, 25), (30, 25)]"
